Case,CycleTime_s,Max_q1_dot_rad_s,Max_q2_dot_rad_s,PathLength_m,MaxEndEffectorSpeed_m_s,StartX_m,StartY_m,EndX_m,EndY_m
0.8T,2.496,0.293685210672123,0.677573736050683,0.820450318978104,0.498361832152852,0.741982106157305,0.272485861818977,0.191166222245626,0.801366365092022
1.0T,3.12,0.234948168537698,0.542058988840546,0.820450318978105,0.398689465722271,0.741982106157305,0.272485861818977,0.191166222245626,0.801366365092022
1.2T,3.744,0.195790140448082,0.451715824033789,0.820450318978104,0.33224122143522,0.741982106157305,0.272485861818977,0.191166222245626,0.801366365092022
