Case,Cycle Time (s),Max |q1_dot| (rad/s),Max |q2_dot| (rad/s),Path Length (m),Maximum End-Effector Speed (m/s),Start x (m),Start y (m),End x (m),End y (m)
0.8T,2.4960000000000004,0.2936852106721227,0.677573736050683,0.8204503189781045,0.4983618321528485,0.7419821061573051,0.272485861818977,0.19116622224562613,0.8013663650920224
1.0T,3.12,0.2349481685376982,0.5420589888405465,0.8204503189781046,0.39868946572227265,0.7419821061573051,0.272485861818977,0.19116622224562613,0.8013663650920224
1.2T,3.7439999999999998,0.19579014044808185,0.45171582403378885,0.8204503189781046,0.33224122143522933,0.7419821061573051,0.272485861818977,0.19116622224562613,0.8013663650920224
